Name,Assigned Male,Year,Assigned Female,Total
Robin,70.0,1974,,70.0
Alasdair,72.0,1974,,72.0
Calum,75.0,1974,,75.0
Adam,75.0,1974,,75.0
Anthony,204.0,1974,,204.0
Wayne,76.0,1974,,76.0
Gerard,81.0,1974,,81.0
Euan,81.0,1974,,81.0
Hugh,86.0,1974,,86.0
Jamie,88.0,1974,,88.0
Marc,92.0,1974,,92.0
Bryan,94.0,1974,,94.0
Alastair,94.0,1974,,94.0
Patrick,96.0,1974,,96.0
Bruce,96.0,1974,,96.0
Sean,77.0,1974,,77.0
Lee,209.0,1974,109.0,318.0
Keith,223.0,1974,,223.0
Douglas,225.0,1974,,225.0
Christopher,702.0,1974,,702.0
Stuart,710.0,1974,,710.0
Michael,735.0,1974,1.0,736.0
Craig,749.0,1974,,749.0
William,777.0,1974,1.0,778.0
Stephen,866.0,1974,1.0,867.0
Robert,885.0,1974,2.0,887.0
Steven,1020.0,1974,,1020.0
Scott,1060.0,1974,,1060.0
Alan,685.0,1974,,685.0
Andrew,1067.0,1974,,1067.0
Mark,1234.0,1974,,1234.0
Paul,1260.0,1974,2.0,1262.0
John,1528.0,1974,2.0,1530.0
David,1794.0,1974,1.0,1795.0
Lindsay,26.0,1974,86.0,112.0
Trevor,26.0,1974,,26.0
Vincent,26.0,1974,,26.0
Christian,25.0,1974,4.0,29.0
Lewis,25.0,1974,,25.0
James,1202.0,1974,,1202.0
Johnathan,8.0,1974,,8.0
Colin,634.0,1974,,634.0
Kevin,598.0,1974,,598.0
Simon,281.0,1974,,281.0
Allan,284.0,1974,,284.0
Kenneth,302.0,1974,,302.0
George,302.0,1974,1.0,303.0
Graham,325.0,1974,,325.0
Darren,333.0,1974,,333.0
Peter,353.0,1974,1.0,354.0
Graeme,354.0,1974,,354.0
Alexander,359.0,1974,,359.0
Brian,623.0,1974,1.0,624.0
Gordon,369.0,1974,,369.0
Jason,389.0,1974,,389.0
Ian,421.0,1974,,421.0
Barry,427.0,1974,,427.0
Neil,446.0,1974,,446.0
Thomas,458.0,1974,,458.0
Martin,473.0,1974,,473.0
Derek,500.0,1974,,500.0
Richard,558.0,1974,,558.0
Gary,570.0,1974,1.0,571.0
Iain,386.0,1974,,386.0
Kevan,8.0,1974,,8.0
Neal,8.0,1974,,8.0
Oliver,8.0,1974,,8.0
Reuben,3.0,1974,,3.0
Riccardo,3.0,1974,,3.0
Roberto,3.0,1974,,3.0
Ruaraidh,3.0,1974,,3.0
Ruaridh,3.0,1974,,3.0
Stefano,3.0,1974,,3.0
Symon,3.0,1974,,3.0
Tobias,3.0,1974,,3.0
Todd,3.0,1974,,3.0
Abid,2.0,1974,,2.0
Adnan,2.0,1974,,2.0
Aiden,2.0,1974,,2.0
Ainslie,2.0,1974,3.0,5.0
Ajay,2.0,1974,,2.0
Alessandro,2.0,1974,,2.0
Alyn,2.0,1974,,2.0
Anderson,2.0,1974,,2.0
Andre,2.0,1974,,2.0
Rennie,3.0,1974,1.0,4.0
Quentin,3.0,1974,,3.0
Piers,3.0,1974,,3.0
Nickolas,3.0,1974,,3.0
Declan,3.0,1974,,3.0
Deryck,3.0,1974,,3.0
Edmond,3.0,1974,,3.0
Edmund,3.0,1974,,3.0
Jacob,3.0,1974,,3.0
Johnston,3.0,1974,,3.0
Keiron,3.0,1974,,3.0
Kennedy,3.0,1974,,3.0
Khalil,3.0,1974,,3.0
Kristofer,3.0,1974,,3.0
Lloyd,3.0,1974,,3.0
Mario,3.0,1974,,3.0
Max,3.0,1974,,3.0
Maxwell,3.0,1974,,3.0
Mitchell,3.0,1974,,3.0
Morris,3.0,1974,,3.0
Nathaniel,3.0,1974,,3.0
Naveed,3.0,1974,,3.0
Neville,3.0,1974,,3.0
Laurie,3.0,1974,8.0,11.0
Asif,2.0,1974,,2.0
Atholl,2.0,1974,,2.0
Bjorn,2.0,1974,,2.0
Elliott,2.0,1974,,2.0
Emlyn,2.0,1974,,2.0
Eoghan,2.0,1974,,2.0
Erlend,2.0,1974,,2.0
Garth,2.0,1974,,2.0
Geoff,2.0,1974,,2.0
Gerrard,2.0,1974,,2.0
Edgar,2.0,1974,,2.0
Gerry,2.0,1974,,2.0
Hamilton,2.0,1974,,2.0
Hans,2.0,1974,,2.0
Hendry,2.0,1974,,2.0
Howard,2.0,1974,,2.0
Irvine,2.0,1974,,2.0
Jaimie,2.0,1974,,2.0
Giancarlo,2.0,1974,,2.0
Darron,3.0,1974,,3.0
Eamonn,2.0,1974,,2.0
Donovan,2.0,1974,,2.0
Brandon,2.0,1974,,2.0
Brydon,2.0,1974,,2.0
Bryn,2.0,1974,,2.0
